牡蠣索引 Oyster Index,牡蠣原始編號 Oyster Original Number,右殼長 Right Shell Length,左殼長 Left Shell Length,殼寬 Shell Width,殼高 Shell Height,面積 Area,體積 Volume,總重量 Total Weight,殼重 Shell Weight,肉重占總重量百分比(%) The proportion of Meat Weight in Total Weight(%),雜質重 Impurity Weight,肉重 Meat Weight
258,128,7.6,8.4,3.7,1.6,31.08,49.728,23.2,15.7,0.280172414,1,6.5
259,129,6.8,8.3,4.4,2.2,36.52,80.344,34.6,23.5,0.294797688,0.9,10.2
260,130,5.5,6,3.4,2.2,20.4,44.88,16.7,11.4,0.347305389,-0.5,5.8
261,1,6.9,7.8,4.1,2.5,31.98,79.95,28.1,20.7,0.256227758,0.2,7.2
262,2,6.3,7.8,5.2,3.6,40.56,146.016,50,42.4,0.18,-1.4,9
263,3,9.1,10.5,4.6,2.1,48.3,101.43,38,27.1,0.281578947,0.2,10.7
264,4,6.7,8.2,4.3,2.4,35.26,84.624,34.6,24.8,0.303468208,-0.7,10.5
265,5,6.4,7.8,3.8,2.3,29.64,68.172,25.9,20,0.250965251,-0.6,6.5
266,6,7.4,8.4,4.1,2.3,34.44,79.212,33.4,24.8,0.254491018,0.1,8.5
267,7,8.2,9.4,4.2,2.1,39.48,82.908,44.3,35.6,0.191873589,0.2,8.5
268,8,7.1,7.1,4.2,2.4,29.82,71.568,28.8,21.8,0.246527778,-0.1,7.1
269,9,7.8,9.2,3.9,1.9,35.88,68.172,32.8,25.9,0.237804878,-0.9,7.8
270,10,8.4,8.4,4.4,1.8,36.96,66.528,31.8,23.3,0.251572327,0.5,8
271,11,6.6,7.9,4.1,2.5,32.39,80.975,31.6,24.6,0.212025316,0.3,6.7
272,12,5.9,6.6,4.3,2.2,28.38,62.436,28.6,21.9,0.241258741,-0.2,6.9
273,13,5.8,6.8,4.5,2.9,30.6,88.74,37.1,27.4,0.269541779,-0.3,10
274,14,7.8,8.6,4.5,3.3,38.7,127.71,53.5,38.4,0.25046729,1.7,13.4
275,15,8.4,9.6,4.8,2.3,46.08,105.984,42.1,29.4,0.280285036,0.9,11.8
276,16,9,10.1,4.8,2.1,48.48,101.808,40.6,30.7,0.270935961,-1.1,11
277,17,7.7,8.6,4.2,3.4,36.12,122.808,51.5,36.4,0.217475728,3.9,11.2
278,18,8.1,9.3,4.8,2.1,44.64,93.744,53.5,40,0.248598131,0.2,13.3
