牡蠣原始編號 Oyster Original Number,右殼長 Right Shell Length,左殼長 Left Shell Length,殼寬 Shell Width,殼高 Shell Height,面積 Area,體積 Volume,總重量 Total Weight,殼重 Shell Weight,肉重占總重量百分比(%) The proportion of Meat Weight in Total Weight(%),雜質重 Impurity Weight,肉重 Meat Weight
100.0,7.5,8.6,4.1,2.3,35.26,81.09799999999998,34.3,25.0,0.239067055393586,1.0999999999999943,8.2
101.0,7.2,8.1,4.3,2.3,34.83,80.109,33.1,22.9,0.2779456193353474,1.000000000000007,9.2
102.0,6.1,7.5,4.6,1.7,34.5,58.65,19.8,14.6,0.2676767676767677,-0.0999999999999978,5.3
103.0,8.6,9.1,4.2,2.1,38.22,80.262,35.5,25.1,0.2338028169014084,2.0999999999999943,8.3
104.0,7.4,8.2,4.4,2.1,36.08,75.768,34.0,23.8,0.2558823529411764,1.5,8.7
105.0,6.0,7.0,4.6,1.8,32.2,57.96,25.0,17.5,0.264,0.8999999999999986,6.6
106.0,7.2,8.3,3.7,2.0,30.710000000000004,61.42000000000001,25.5,17.5,0.2901960784313726,0.6000000000000014,7.4
107.0,7.3,8.3,4.5,1.5,37.35,56.025000000000006,28.6,19.6,0.2762237762237762,1.1000000000000014,7.9
108.0,6.6,7.5,4.4,2.4,33.0,79.2,35.8,22.9,0.3240223463687151,1.2999999999999972,11.6
109.0,6.8,7.8,4.4,2.2,34.32,75.504,32.1,24.1,0.2274143302180685,0.6999999999999993,7.3
110.0,7.1,8.1,5.0,2.0,40.5,81.0,31.9,22.8,0.2507836990595611,1.099999999999998,8.0
111.0,7.1,7.8,4.4,2.4,34.32,82.368,40.0,26.4,0.3075,1.2999999999999972,12.3
112.0,7.1,8.1,4.6,2.6,37.26,96.876,35.7,26.4,0.2296918767507002,1.1000000000000083,8.2
113.0,8.4,9.4,3.9,2.4,36.66,87.98400000000001,35.0,23.6,0.3,0.8999999999999986,10.5
114.0,5.9,6.5,4.7,2.6,30.55,79.43,28.1,20.0,0.2597864768683274,0.8000000000000007,7.3
115.0,5.8,6.5,4.4,1.6,28.6,45.760000000000005,23.1,15.3,0.3116883116883117,0.6000000000000014,7.2
116.0,6.3,7.2,4.5,2.3,32.4,74.52,34.9,21.3,0.3151862464183381,2.6000000000000014,11.0
117.0,7.0,7.4,3.6,2.3,26.64,61.272,32.7,19.6,0.3302752293577982,2.3000000000000007,10.8
118.0,7.1,7.7,3.2,3.5,24.64,86.24000000000001,44.3,30.6,0.2460496613995485,2.799999999999997,10.9
119.0,5.9,6.7,3.6,1.7,24.12,41.004,17.2,11.0,0.2790697674418604,1.3999999999999986,4.8
120.0,7.2,7.9,4.7,2.6,37.13,96.538,56.3,36.8,0.2415630550621669,5.899999999999999,13.6
121.0,6.1,7.6,3.8,2.4,28.88,69.312,28.9,18.7,0.3114186851211072,1.1999999999999993,9.0
122.0,5.8,6.8,4.6,2.0,31.28,62.56,27.3,17.9,0.315018315018315,0.8000000000000007,8.6
123.0,6.6,6.9,4.3,2.0,29.67,59.34,29.7,22.8,0.2222222222222222,0.3000000000000007,6.6
124.0,6.0,6.0,3.9,2.4,23.4,56.16,28.8,19.6,0.28125,1.099999999999998,8.1
125.0,6.6,7.8,4.5,2.3,35.1,80.73,27.2,20.4,0.2389705882352941,0.3000000000000007,6.5
126.0,7.3,8.4,4.1,1.6,34.44,55.104,30.9,22.1,0.2815533980582524,0.0999999999999978,8.7
127.0,6.9,7.5,4.6,2.3,34.5,79.35,30.6,20.8,0.2973856209150327,0.7000000000000028,9.1
128.0,7.6,8.4,3.7,1.6,31.08,49.72800000000001,23.2,15.7,0.2801724137931035,1.0,6.5
129.0,6.8,8.3,4.4,2.2,36.52,80.34400000000001,34.6,23.5,0.2947976878612716,0.8999999999999986,10.2
130.0,5.5,6.0,3.4,2.2,20.4,44.88,16.7,11.4,0.3473053892215569,-0.5,5.8
