牡蠣原始編號 Oyster Original Number,右殼長 Right Shell Length,左殼長 Left Shell Length,殼寬 Shell Width,殼高 Shell Height,面積 Area,體積 Volume,總重量 Total Weight,殼重 Shell Weight,肉重占總重量百分比(%) The proportion of Meat Weight in Total Weight(%),雜質重 Impurity Weight,肉重 Meat Weight,準確值 Accurate value,預測值 Predicted value,誤差值 Error value
56.0,7.9,8.2,4.4,1.8,36.08,64.944,23.5,17.6,0.2851063829787234,-0.8000000000000007,6.7,6.7,6.072145462036133,0.6278545379638674
76.0,8.4,9.4,4.3,2.2,40.42,88.924,50.0,35.1,0.238,3.0,11.9,11.9,12.731822967529297,-0.8318229675292965
36.0,6.8,7.9,3.9,2.3,30.81,70.863,30.9,22.7,0.2588996763754045,0.1999999999999993,8.0,8.0,7.951303482055664,0.04869651794433594
24.0,7.7,7.9,4.3,1.9,33.97,64.54299999999999,33.3,25.6,0.2402402402402402,-0.3000000000000042,8.0,8.0,8.881736755371094,-0.8817367553710938
75.0,6.6,7.4,3.8,1.8,28.12,50.616,27.5,20.4,0.2254545454545454,0.9000000000000021,6.2,6.2,7.768843650817871,-1.568843650817871
32.0,6.5,7.7,4.5,2.3,34.65,79.695,24.7,19.8,0.2105263157894737,-0.3000000000000007,5.2,5.2,5.954231262207031,-0.7542312622070311
86.0,7.4,8.4,4.3,2.4,36.12,86.68799999999999,42.0,27.8,0.3214285714285714,0.7000000000000028,13.5,13.5,10.60448169708252,2.8955183029174805
58.0,6.7,7.4,4.9,2.6,36.260000000000005,94.276,37.5,28.4,0.2373333333333333,0.2000000000000028,8.9,8.9,9.080899238586426,-0.18089923858642543
101.0,7.2,8.1,4.3,2.3,34.83,80.109,33.1,22.9,0.2779456193353474,1.000000000000007,9.2,9.2,8.303037643432617,0.8969623565673821
112.0,7.1,8.1,4.6,2.6,37.26,96.876,35.7,26.4,0.2296918767507002,1.1000000000000083,8.2,8.2,8.556099891662598,-0.35609989166259837
33.0,5.5,6.4,4.2,2.1,26.880000000000003,56.44800000000001,32.4,22.5,0.2777777777777778,0.8999999999999986,9.0,9.0,9.075839042663574,-0.07583904266357422
110.0,7.1,8.1,5.0,2.0,40.5,81.0,31.9,22.8,0.2507836990595611,1.099999999999998,8.0,8.0,8.08139705657959,-0.08139705657958984
15.0,8.4,9.6,4.8,2.3,46.08,105.984,42.1,29.4,0.2802850356294536,0.8999999999999986,11.8,11.8,10.352996826171875,1.4470031738281257
90.0,7.0,8.1,4.5,2.5,36.45,91.125,38.1,27.6,0.2362204724409448,1.5,9.0,9.0,9.411524772644043,-0.41152477264404297
20.0,9.5,10.3,4.4,1.7,45.32000000000001,77.04400000000001,31.3,23.3,0.2492012779552715,0.1999999999999993,7.8,7.8,7.854396820068359,-0.05439682006835955
30.0,7.1,7.1,5.2,2.2,36.92,81.224,40.5,31.5,0.2197530864197531,0.1000000000000014,8.9,8.9,10.22573184967041,-1.3257318496704098
50.0,7.9,8.8,4.9,1.7,43.120000000000005,73.304,41.5,30.6,0.2457831325301204,0.7000000000000028,10.2,10.2,11.21176815032959,-1.0117681503295906
107.0,7.3,8.3,4.5,1.5,37.35,56.025000000000006,28.6,19.6,0.2762237762237762,1.1000000000000014,7.9,7.9,7.853358268737793,0.046641731262207387
83.0,6.4,7.5,4.9,2.2,36.75,80.85000000000001,31.2,23.1,0.2628205128205128,-0.1000000000000014,8.2,8.2,7.7402753829956055,0.4597246170043938
128.0,7.6,8.4,3.7,1.6,31.08,49.72800000000001,23.2,15.7,0.2801724137931035,1.0,6.5,6.5,6.212291717529297,0.2877082824707031
130.0,5.5,6.0,3.4,2.2,20.4,44.88,16.7,11.4,0.3473053892215569,-0.5,5.8,5.8,5.658369064331055,0.14163093566894513
80.0,6.4,7.7,5.0,1.8,38.5,69.3,31.4,20.5,0.3248407643312102,0.6999999999999993,10.2,10.2,8.223072052001953,1.9769279479980462
70.0,7.4,8.2,3.9,1.9,31.98,60.76199999999999,26.9,19.3,0.2007434944237918,2.199999999999996,5.4,5.4,7.044985771179199,-1.6449857711791989
81.0,8.2,9.0,4.0,1.8,36.0,64.8,28.4,20.8,0.2676056338028169,0.0,7.6,7.6,7.192217826843262,0.4077821731567379
21.0,6.9,7.7,3.5,1.8,26.95,48.51,26.3,21.2,0.2319391634980988,-0.9999999999999964,6.1,6.1,7.389561653137207,-1.2895616531372074
123.0,6.6,6.9,4.3,2.0,29.67,59.34,29.7,22.8,0.2222222222222222,0.3000000000000007,6.6,6.6,8.104707717895508,-1.5047077178955082
73.0,7.8,9.6,5.3,2.1,50.88,106.848,42.6,29.4,0.2582159624413145,2.200000000000003,11.0,11.0,10.943428039550781,0.05657196044921875
78.0,8.2,9.4,4.1,2.2,38.54,84.78800000000001,33.1,22.7,0.2900302114803625,0.8000000000000043,9.6,9.6,7.872884750366211,1.7271152496337887
26.0,6.6,7.1,4.4,2.3,31.24,71.852,30.3,23.0,0.2409240924092409,0.0,7.3,7.3,7.834206581115723,-0.5342065811157228
38.0,7.7,8.7,3.5,2.0,30.45,60.89999999999999,24.1,17.3,0.2738589211618257,0.2000000000000028,6.6,6.6,5.9061079025268555,0.6938920974731442
82.0,8.6,9.8,4.8,2.2,47.04,103.488,41.8,28.9,0.2822966507177034,1.0999999999999943,11.8,11.8,10.3856201171875,1.4143798828125007
120.0,7.2,7.9,4.7,2.6,37.13,96.538,56.3,36.8,0.2415630550621669,5.899999999999999,13.6,13.6,14.453880310058594,-0.8538803100585941
47.0,7.8,8.5,4.1,2.4,34.849999999999994,83.63999999999999,34.0,26.0,0.2323529411764706,0.1000000000000014,7.9,7.9,8.331650733947754,-0.43165073394775355
129.0,6.8,8.3,4.4,2.2,36.52,80.34400000000001,34.6,23.5,0.2947976878612716,0.8999999999999986,10.2,10.2,8.736370086669922,1.4636299133300774
